Membership No  Date Joined  Active  
    49156      2015-1-17    yes   
    21047      2015-5-15    no    
    53795      2017-4-8     no    
    24161      2020-4-22    yes   
    95654      2015-11-17   yes   
    47473      2017-3-4     yes   
    42812      2019-11-24   no    
    31261      2019-5-23    no    
    52581      2018-10-18   no    
    26864      2016-9-22    no    
    68119      2019-12-25   yes   
    51867      2016-10-15   yes   
    59497      2020-7-23    yes   
    83006      2016-6-17    yes   
    13434      2016-3-1     yes   
    82231      2016-11-23   yes   
    20184      2018-4-10    no    
    10515      2019-12-14   yes   
    82137      2020-11-12   yes   
    34691      2016-4-1     yes   
